Program ; 0
Channel ; 1
Tool ; 88
Cut ; 0
Start date ; 2026-08-10 12:08:02.227
End date ; 2026-08-10 12:08:02.227
File version ; 1

Time (s) ; Date ; Time ; Workpiece ID ; SPINDEL ; Work SPINDEL ; X AXIS ; Work X AXIS ; Y AXIS ; Work Y AXIS ; Z AXIS ; Work Z AXIS ; Alarm ; Alarm limit ; Teach-In ; Setup ; Rework ; Limit 1 ; Limit type ; Limit feature ; Limit 2 ; Limit type ; Limit feature ; Limit 3 ; Limit type ; Limit feature ; Limit 4 ; Limit type ; Limit feature ; Limit 5 ; Limit type ; Limit feature ; Limit 6 ; Limit type ; Limit feature ; Limit 7 ; Limit type ; Limit feature ; Limit 8 ; Limit type ; Limit feature
0 ; 10.08.2026 ; 12:08:02 ;  ; 174 ; 108 ; 144 ; 101 ; 96 ; 104 ; 102 ; 106 ; 1 ; 2 ;  ;  ;  ; 110 ; 1 ; 1 ; 150 ; 1 ; 2 ; 111 ; 1 ; 3 ; 110 ; 1 ; 4 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
