Program ; 0
Channel ; 1
Tool ; 134
Cut ; 0
Start date ; 2026-08-10 12:31:56.199
End date ; 2026-08-10 12:31:56.199
File version ; 1

Time (s) ; Date ; Time ; Workpiece ID ; SPINDEL ; Work SPINDEL ; X AXIS ; Work X AXIS ; Y AXIS ; Work Y AXIS ; Z AXIS ; Work Z AXIS ; Alarm ; Alarm limit ; Teach-In ; Setup ; Rework ; Limit 1 ; Limit type ; Limit feature ; Limit 2 ; Limit type ; Limit feature ; Limit 3 ; Limit type ; Limit feature ; Limit 4 ; Limit type ; Limit feature ; Limit 5 ; Limit type ; Limit feature ; Limit 6 ; Limit type ; Limit feature ; Limit 7 ; Limit type ; Limit feature ; Limit 8 ; Limit type ; Limit feature
0 ; 10.08.2026 ; 12:31:56 ;  ; 111 ; 108 ; 83 ; 113 ; 97 ; 102 ; 102 ; 106 ;  ;  ;  ;  ;  ; 110 ; 1 ; 1 ; 110 ; 1 ; 2 ; 150 ; 1 ; 3 ; 110 ; 1 ; 4 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
