Program ; 0
Channel ; 1
Tool ; 45
Cut ; 0
Start date ; 2026-08-10 11:44:38.274
End date ; 2026-08-10 11:44:38.274
File version ; 1

Time (s) ; Date ; Time ; Workpiece ID ; SPINDEL ; Work SPINDEL ; X AXIS ; Work X AXIS ; Y AXIS ; Work Y AXIS ; Z AXIS ; Work Z AXIS ; Alarm ; Alarm limit ; Teach-In ; Setup ; Rework ; Limit 1 ; Limit type ; Limit feature ; Limit 2 ; Limit type ; Limit feature ; Limit 3 ; Limit type ; Limit feature ; Limit 4 ; Limit type ; Limit feature ; Limit 5 ; Limit type ; Limit feature ; Limit 6 ; Limit type ; Limit feature ; Limit 7 ; Limit type ; Limit feature ; Limit 8 ; Limit type ; Limit feature
0 ; 10.08.2026 ; 11:44:38 ;  ; 108 ; 103 ; 124 ; 93 ; 110 ; 99 ; 96 ; 103 ;  ;  ;  ;  ;  ; 110 ; 1 ; 1 ; 150 ; 1 ; 2 ; 150 ; 1 ; 3 ; 110 ; 1 ; 4 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
